亜	4-7-1
唖	1-3-7
娃	1-3-6
阿	1-3-5
哀	2-2-7
愛	2-4-9
挨	1-3-7
姶	1-3-6
逢	3-3-7
葵	2-3-9
茜	2-3-6
穐	1-5-11
悪	2-7-4
握	1-3-9
渥	1-3-9
旭	3-2-4
葦	2-3-10
芦	2-3-4
鯵	1-11-8
梓	1-4-7
圧	3-2-3
斡	1-8-6
扱	1-3-3
宛	2-3-5
姐	1-3-5
虻	1-6-3
飴	1-8-5
絢	1-6-6
綾	1-6-8
鮎	1-11-5
或	3-4-4
粟	2-6-6
袷	1-5-6
安	2-3-3
庵	3-3-8
按	1-3-6
暗	1-4-9
案	2-3-7
闇	3-8-9
鞍	1-9-6
杏	2-4-3
以	1-2-3
伊	1-2-4
位	1-2-5
依	1-2-6
偉	1-2-10
囲	3-3-4
夷	4-6-4
委	2-5-3
威	4-9-4
尉	1-8-3
惟	1-3-8
意	2-2-11
慰	2-11-4
易	2-4-4
椅	1-4-8
為	4-9-4
畏	2-5-4
異	2-5-6
移	1-5-6
維	1-6-8
緯	1-6-10
胃	2-5-4
萎	2-3-8
衣	2-2-4
謂	1-7-9
違	3-3-10
遺	3-3-12
医	3-2-5
井	4-4-3
亥	2-2-4
域	1-3-8
育	2-2-6
郁	1-6-3
磯	1-5-12
一	4-1-4
壱	2-3-4
溢	1-3-10
逸	3-3-8
稲	1-5-9
茨	2-3-6
芋	2-3-3
鰯	1-11-10
允	2-2-2
印	1-4-2
咽	1-3-6
員	2-3-7
因	3-3-3
姻	1-3-6
引	1-3-1
飲	1-8-4
淫	1-3-8
胤	1-1-8
蔭	2-3-11
院	1-3-7
陰	1-3-8
隠	1-3-11
韻	1-9-10
吋	1-3-3
右	3-2-3
宇	2-3-3
烏	3-6-4
羽	1-3-3
迂	3-3-3
雨	4-8-1
卯	1-3-2
鵜	1-7-11
窺	2-3-13
丑	4-4-1
碓	1-5-8
臼	4-6-2
渦	1-3-9
嘘	1-3-11
唄	1-3-7
欝	2-12-14
蔚	2-3-11
鰻	1-11-11
姥	1-3-6
厩	3-2-10
浦	1-3-7
瓜	3-3-2
閏	3-8-4
噂	1-3-12
云	2-1-3
